Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             18	         5	00100080	000402b7	lui	x5,0x40	  x5=0x00040000
             20	         6	00100084	00100313	addi	x6,x0,1	  x0:0x00000000  x6=0x00000001
             24	         8	00100088	0062a023	sw	x6,0(x5)	  x5:0x00040000  x6:0x00000001 PA:0x00040000 store:0x00000001
             26	         9	0010008c	0a500313	addi	x6,x0,165	  x0:0x00000000  x6=0x000000a5
             30	        11	00100090	0062a223	sw	x6,4(x5)	  x5:0x00040000  x6:0x000000a5 PA:0x00040004 store:0x000000a5
             34	        13	00100094	0082a383	lw	x7,8(x5)	  x5:0x00040000  x7=0x00000000 PA:0x00040008 load:0x00000000
             36	        14	00100098	00101e37	lui	x28,0x101	 x28=0x00101000
             38	        15	0010009c	000e0e13	addi	x28,x28,0	 x28:0x00101000 x28=0x00101000
             42	        17	001000a0	007e2023	sw	x7,0(x28)	 x28:0x00101000  x7:0x00000000 PA:0x00101000 store:0x00000000
             44	        18	001000a4	000202b7	lui	x5,0x20	  x5=0x00020000
             46	        19	001000a8	00100313	addi	x6,x0,1	  x0:0x00000000  x6=0x00000001
             50	        21	001000ac	0062a423	sw	x6,8(x5)	  x5:0x00020000  x6:0x00000001 PA:0x00020008 store:0x00000001
